,relative_humidity_2m
766,45.188793
767,78.03213
768,84.17623
769,90.78081
770,95.55846
771,97.60117
772,99.39115
773,99.69497
774,99.39528
775,94.7067
776,91.082794
777,85.02846
778,73.954315
779,60.828815
780,51.133068
781,38.04985
782,29.324902
783,25.206741
784,23.535837
785,24.820688
786,29.33422
787,31.056942
788,36.00533
789,44.75486
790,62.39866
791,46.719475
792,51.774105
793,53.329124
794,67.346794
795,79.65355
796,83.956535
797,78.54384
798,89.394104
799,95.46392
800,90.416336
801,80.38936
802,60.079506
803,35.336777
804,11.425157
805,11.633405
806,11.271934
807,10.80115
808,11.684488
809,18.998741
810,22.013859
811,21.122
812,24.472427
813,29.561018
814,43.777683
815,41.51484
816,48.110046
817,34.898937
818,48.976215
819,60.152596
820,64.6839
821,64.3288
822,69.98682
823,76.40223
824,82.949844
825,81.5203
826,68.78787
827,46.533813
828,36.785694
829,28.62424
830,23.98906
831,21.678331
832,21.5682
833,21.483356
834,49.763638
835,41.672947
836,53.169136
837,48.904804
838,39.819866
839,39.390884
840,38.581173
841,48.363342
842,58.95922
843,67.45175
844,87.997826
845,96.330444
846,99.68712
847,99.69169
848,98.1812
849,90.14956
850,81.127106
851,63.539494
852,43.949074
853,31.390085
854,25.155138
855,22.205238
856,21.27081
857,29.109777
858,52.234093
859,41.395927
860,37.228493
861,34.459408
862,42.91126
863,44.252846
864,63.067757
865,54.771065
866,66.45937
867,80.65935
868,85.84457
869,88.002106
870,88.818954
871,94.81171
872,88.4657
873,80.72133
874,67.18033
875,53.62569
876,43.612026
877,35.75688
878,30.98397
879,27.90724
880,26.414778
881,31.997168
882,48.044548
883,47.136715
884,43.94073
885,46.708923
886,58.2097
887,51.071487
888,80.61715
889,86.7405
890,90.74442
891,95.23369
892,97.86819
893,96.97924
894,99.38726
895,98.47548
896,89.368256
897,78.64078
898,67.270035
899,51.297447
900,39.758926
901,27.287611
902,21.830954
903,19.077375
904,17.43252
905,19.11366
906,26.933912
907,25.717241
908,27.212437
909,33.625137
910,33.71319
911,42.30149
912,40.325935
913,54.057457
914,50.609108
915,79.79579
916,78.536575
917,74.05303
918,74.96256
919,79.098656
920,75.29177
921,68.089195
922,40.013515
923,21.781979
924,12.568732
925,11.091783
926,11.002638
927,11.298935
928,12.521429
929,19.944124
930,23.19758
931,23.687384
932,27.844227
933,36.44356
934,19.569208
935,44.516075
936,35.103287
937,65.85565
938,79.74054
939,86.361916
940,92.079185
941,96.96568
942,98.478905
943,99.09004
944,89.97385
945,79.59138
946,66.05679
947,55.7506
948,44.17113
949,35.550495
950,31.214737
951,29.243483
952,29.433231
953,30.41681
954,52.213722
955,50.444214
956,44.148632
957,53.569904
958,49.81925
959,62.604736
960,65.89018
961,71.93341
962,78.075714
963,84.45516
964,88.628044
965,90.25107
966,91.343704
967,90.53223
968,85.3071
969,75.576614
970,66.58362
971,56.166904
972,49.4072
973,44.595646
974,43.49748
975,43.83923
976,42.836777
977,46.457027
978,55.65213
979,76.43676
980,85.888695
981,87.71589
982,84.844025
983,86.094826
984,79.67279
985,88.20293
986,100.0
987,100.0
988,100.0
989,100.0
990,100.0
991,100.0
992,96.76284
993,96.47186
994,84.64096
995,76.35129
996,51.43156
997,43.105335
998,40.439587
999,41.296795
1000,40.326355
1001,44.560444
1002,49.10812
1003,55.64522
1004,48.355145
1005,53.320297
1006,70.90471
1007,79.502655
1008,76.11154
1009,85.64182
1010,80.316536
1011,68.3293
1012,56.482418
1013,50.856808
1014,40.941513
1015,33.410618
1016,28.918478
1017,16.61892
1018,11.935671
1019,10.148058
1020,10.932882
1021,11.128857
1022,11.223444
1023,11.805893
1024,12.856767
1025,15.228813
1026,18.48288
1027,19.057255
1028,19.649685
1029,18.972937
1030,22.314188
1031,30.904696
1032,25.222496
1033,54.988243
1034,70.60692
1035,75.283615
1036,78.76545
1037,83.594765
1038,82.23862
1039,75.389786
1040,62.583523
1041,60.31675
1042,53.546963
1043,42.44162
1044,37.480305
1045,31.46743
1046,28.815767
1047,27.58373
1048,26.704931
1049,26.176296
1050,33.944336
1051,35.059105
1052,37.028614
1053,38.037273
1054,45.967705
1055,73.18132
1056,82.452965
1057,80.05762
1058,85.746315
1059,93.26596
1060,94.94064
1061,92.68638
1062,96.98487
1063,98.782394
1064,89.67515
1065,76.570015
1066,60.051395
1067,42.753292
1068,25.421606
1069,17.651014
1070,14.709411
1071,13.649292
1072,12.221889
1073,12.67993
1074,31.635891
1075,29.868933
1076,30.521793
1077,38.333466
1078,39.470387
1079,45.145653
1080,24.420195
1081,41.594883
1082,44.67119
1083,68.91172
1084,84.43895
1085,86.55773
1086,79.88524
1087,78.69326
1088,82.59142
1089,78.69046
1090,60.74492
1091,37.471844
1092,32.249554
1093,23.9018
1094,20.039661
1095,18.730085
1096,17.795017
1097,18.932692
1098,24.49858
1099,22.152634
1100,42.909092
1101,38.641632
1102,46.269722
1103,28.618605
1104,33.771294
1105,39.368053
1106,69.08832
1107,78.03439
1108,90.87838
1109,92.83242
1110,92.8035
1111,91.68581
1112,88.84274
1113,79.376656
1114,65.14619
1115,47.70977
1116,39.697227
1117,29.391138
1118,22.243929
1119,17.396597
1120,14.492547
1121,14.623871
1122,20.276257
1123,23.401314
1124,28.255108
1125,31.697182
1126,34.363216
1127,47.76347
1128,64.79167
1129,83.65778
1130,90.50512
1131,94.42198
1132,96.73407
1133,95.30139
1134,91.39316
1135,91.93447
1136,84.57234
1137,73.13552
1138,62.743874
1139,53.39151
1140,45.5365
1141,32.8417
1142,28.529606
1143,26.425648
1144,25.280497
1145,26.294518
1146,32.44632
1147,48.4644
1148,37.2504
1149,70.69427
1150,76.07489
1151,80.44635
1152,82.85712
1153,86.369606
1154,88.45683
1155,89.7845
1156,90.0519
1157,90.8497
1158,91.111465
1159,88.95656
1160,81.361176
1161,70.174614
1162,60.256443
1163,51.469658
1164,52.123264
1165,43.387966
1166,39.18627
1167,37.982
1168,37.28878
1169,43.10576
1170,52.06889
1171,60.083794
1172,67.21423
1173,71.28549
1174,74.98869
1175,77.443954
1176,74.22106
1177,78.076515
1178,81.12782
1179,83.30218
1180,85.80546
1181,88.39983
1182,90.81699
1183,91.64232
1184,82.58357
1185,70.863304
1186,59.140453
1187,51.35696
1188,52.75177
1189,46.05311
1190,41.817005
1191,38.823032
1192,39.5812
1193,58.948757
1194,58.83286
1195,64.39615
1196,69.81417
1197,72.16362
1198,76.58184
1199,80.51148
1200,84.16543
1201,87.21266
1202,90.36477
1203,92.259834
1204,90.09411
1205,88.49326
1206,89.003174
1207,89.27133
1208,82.41153
1209,76.15221
1210,74.62619
1211,68.2203
1212,60.929058
1213,46.70905
1214,44.595432
1215,44.414825
1216,44.777653
1217,57.01445
1218,63.14132
1219,69.10369
1220,70.94497
1221,70.69427
1222,75.19957
1223,79.05499
1224,80.946495
1225,84.375916
1226,87.42215
1227,89.7845
1228,91.94894
1229,93.32911
1230,94.165924
1231,92.762665
1232,85.07487
1233,72.48891
1234,62.09101
1235,57.526043
1236,51.672256
1237,45.73226
1238,42.542736
1239,43.22798
1240,45.996418
1241,47.421932
1242,89.58442
1243,94.216484
1244,92.83264
1245,93.946075
1246,95.35428
1247,95.62784
1248,81.7005
1249,85.418076
1250,86.42145
1251,86.15728
1252,84.87522
1253,86.35541
1254,87.36493
1255,85.81529
1256,78.27035
1257,71.64788
1258,65.64854
1259,61.746468
1260,54.24412
1261,47.140846
1262,44.193485
1263,41.9729
1264,74.77169
1265,66.60296
1266,69.5324
1267,74.81898
1268,75.521965
1269,82.47673
1270,85.655174
1271,88.22358
1272,86.71845
1273,90.39203
1274,90.924286
1275,89.30531
1276,89.29404
1277,88.22772
1278,86.90596
1279,85.605606
1280,81.885826
1281,72.33877
1282,61.2398
1283,52.207478
1284,49.605946
1285,43.842655
1286,42.492435
1287,59.103756
1288,53.58528
1289,48.56173
1290,52.76259
1291,56.926876
1292,64.79091
1293,71.00621
1294,76.74504
1295,83.19348
1296,77.299385
1297,83.71094
1298,86.2098
1299,88.2565
1300,87.47031
1301,86.68617
1302,85.91305
1303,84.65672
1304,81.00382
1305,72.46921
1306,64.126686
1307,53.099804
1308,52.37064
1309,42.546074
1310,40.623142
1311,42.452194
1312,43.05613
1313,44.033672
1314,50.93806
1315,62.66676
1316,52.7382
1317,58.54327
1318,64.469986
1319,69.63992
1320,74.924286
1321,76.27446
1322,79.24593
1323,82.103264
1324,82.83379
1325,85.0697
1326,86.59801
1327,87.11429
1328,77.619576
1329,68.262
1330,60.299324
1331,50.769634
1332,49.435738
1333,36.27279
1334,32.959522
